Fp1||F7,F7||T7,T7||P7,P7||O1,Fp2||F8,F8||T8,T8||P8,P8||O2,Fp1||F3,F3||C3,C3||P3,P3||O1,Fp2||F4,F4||C4,C4||P4,P4||O2,Fz||Cz,Cz||Pz
-34.149349244754696,-15.750213732116617,-6.4254832193994815,-3.0557993031106347,-30.788294441660142,-15.71547830162471,-0.39124363560785014,-5.145922598531653,-40.23542701060413,-5.459490594462183,-7.155463226916538,-6.530464667430946,-36.668386783819926,-10.887841632386897,-1.5416168948996969,-2.943093666326055,-13.02052701216347,-5.351610502202835
-41.038805050894176,-49.08255776347974,-49.9099276979514,-7.907682686678738,-96.67554463245398,-8.150498648035143,2.482735605958435,-13.065558872812087,-98.98506710655772,-17.329727572236223,-16.53753080507781,-15.086647715166816,-83.05139860310823,-18.349643519317354,-5.27739612981828,-8.730428295108503,-41.02534113037898,-3.125572180775121
-69.6105303921017,-38.7620485373279,-35.09280765940497,-12.95473494087686,-99.08563939956537,-25.491687097459337,2.4263806650876467,-11.219190517256934,-107.15021401401361,-14.063500375145317,-16.446688794225146,-18.75971834636396,-96.72140127659115,-25.226582192223596,-3.93565418672679,-7.486498693663281,-41.97941963058822,-4.513807738635039
-85.78191925426137,-48.26625465406021,-44.2996975731425,-11.946858784972147,-128.93803389374247,-20.179738099932038,3.9318980517082007,-12.985939868006064,-141.099312206827,-16.754865168815986,-13.230676490363757,-19.20987640046813,-121.72211694012526,-26.342755259680814,-3.8642330876543802,-6.242708522523852,-46.05896504778492,-4.047484410786758
-107.61959526393613,-60.50510806620183,-37.58868048878733,-7.716126343839198,-132.1304366550196,-31.082443487227298,-1.2040116127096745,-17.6822141363268,-165.28503227267504,-19.544341079998198,-15.776333899856045,-12.823802910275809,-137.83847094735316,-24.432535875896637,-8.676557661748202,-11.15154140629826,-48.674022805165464,-6.218858153827873
-117.7404186997919,-73.03720062848451,-33.80779812432074,-12.274436868234064,-142.9408083200631,-39.64484117804361,-3.117965400299205,-20.620452602928005,-168.86744913341627,-27.60777108633318,-19.88436330593656,-20.500270795187653,-147.2190071469609,-29.163995334666556,-13.880459740154894,-16.06060527956507,-53.633202317962315,-8.391169105670029
-119.17171378672136,-63.20597079412786,-32.664174114552196,-20.641242360086153,-150.2362574336056,-44.69504405955389,-6.30226775148725,-21.703007713342092,-157.120160708734,-26.687107072680856,-23.60159446265168,-28.274238811465285,-153.47713129276232,-28.622842949625817,-22.40575874200238,-18.430843973612216,-49.119872891689944,-12.419912647206825
-115.62440514468385,-68.12139272725794,-38.552502492541144,-15.238145863788644,-145.13001746677577,-45.74476636565931,-17.690666126815465,-24.836198603989406,-151.52794548559262,-34.55603886856987,-29.564770354084914,-21.887691520070142,-151.14407493763224,-33.06309364304889,-25.65865999351321,-23.535819989059554,-50.46625388598382,-18.109770799636472
-115.69230059599509,-61.70888142084141,-36.335928030554044,-13.252905421524718,-134.36055707734283,-46.70031775245477,-7.4975971609175645,-26.11372451660439,-149.7470889255621,-32.75723388087668,-26.83620752882433,-17.64948513369975,-142.66134207799828,-29.398561053850205,-24.029880066458126,-18.582413309026553,-48.687785655407765,-14.523073340777422
-99.35548630433031,-53.14829472381279,-39.491312031656484,-11.56046862626359,-120.5647164942335,-32.52240336443573,-7.364215453416297,-25.340278110689866,-134.78521093668184,-27.247793716027505,-21.763641989275943,-19.758915044126944,-129.49385469392212,-23.29334355655736,-18.007792339116325,-14.99662283319274,-39.975767076354835,-12.206852042252534
